Question,Option1,Option2,Option3,Option4,Answer
b'81.  Which one of the following socket API functions converts an unconnected active TCP socket into a passive socket.\n',b'a.connect',b'b.bind',b'c.listen',b'd.accept',b'\nAnswer: (c).listen\n'
b'82.  Packets of the same session may be routed through different paths in\n',"b'a.TCP, but not UDP'",b'b.TCP and UDP',"b'c.UDP, but not TCP'","b'd.Neither TCP, nor UDP'",b'\nAnswer: (b).TCP and UDP\n'
b'83.  The maximum window size for data transmission using the selective reject protocol with n-bit frame sequence numbers is:\n',b'a.2^n',b'b.2^(n-1)',b'c.2^n \xe2\x80\x93 1',b'd.2^(n-2)',b'\nAnswer: (b).2^(n-1)\n'
b'84.  Which of the following functionalities must be implemented by a transport protocol over and above the network protocol ?\n',b'a.Recovery from packet losses',b'b.Detection of duplicate packets',b'c.Packet delivery in the correct order',b'd.End to end connectivity',b'\nAnswer: (d).End to end connectivity\n'
b'85.  Which of the following is not true about User Datagram Protocol in transport layer?\n',"b'a.Works well in unidirectional communication, suitable for broadcast information'",b'b.It does three way handshake before sending datagrams',"b'c.It provides datagrams, suitable for modeling other protocols such as in IP tunneling or Remote Procedure Call and the Network File System'",b'd.The lack of retransmission delays makes it suitable for real-time applications',b'\nAnswer: (b).It does three way handshake before sending datagrams\n'
"b'86.  Suppose two hosts use a TCP connection to transfer a large file. Which of the following statements is/are False with respect to the TCP connection?\r 1. If the sequence number of a segment is m, then the sequence \r   number of the subsequent segment is always m+1.\r2. If the estimated round trip time at any given point of time\r   is t sec, the value of the retransmission timeout is always\r   set to greater than or equal to t sec.\r3. The size of the advertised window never changes during the \r   course of the TCP connection.\r4. The number of unacknowledged bytes at the sender is always \r   less than or equal to the advertised window\n'",b'a.3 only',b'b.1 and 3 only',b'c.1 and 4 only',b'd.2 and 4 only',b'\nAnswer: (b).1 and 3 only\n'
"b'87.  A link has a transmission speed of 10^6 bits/sec. It uses data packets of size 1000 bytes each. Assume that the acknowledgment has negligible transmission delay, and that its propagation delay is the same as the data propagation delay. Also assume that the processing delays at nodes are negligible. The efficiency of the stop-and-wait protocol in this setup is exactly 25%. The value of the one-way propagation delay (in milliseconds) is ___________.\n'",b'a.4',b'b.8',b'c.12',b'd.16',b'\nAnswer: (c).12\n'
"b'88.  Identify the correct order in which a server process must invoke the function calls accept, bind, listen, and recv according to UNIX socket API.\n'","b'a.listen, accept, bind recv'","b'b.bind, listen, accept, recv'","b'c.bind, accept, listen, recv'","b'd.accept, listen, bind, recv'","b'\nAnswer: (b).bind, listen, accept, recv\n'"
b'89.  Assume that the bandwidth for a TCP connection is 1048560 bits/sec. Let \xce\xb1 be the value of RTT in milliseconds (rounded off to the nearest integer) after which the TCP window scale option is needed. Let \xce\xb2 be the maximum possible window size with window scale option. Then the values of \xce\xb1 and \xce\xb2 are\n',b'a.63 milliseconds 65535 \xc3\x97 21^4',b'b.63 milliseconds 65535 \xc3\x97 2^16',b'c.500 milliseconds 65535 \xc3\x97 2^14',b'd.500 milliseconds 65535 \xc3\x97 2^16',b'\nAnswer: (c).500 milliseconds 65535 \xc3\x97 2^14\n'
b'90.  Consider the following statements.\r I. TCP connections are full duplex.\rII. TCP has no option for selective acknowledgment\rIII. TCP connections are message streams.\n',b'a.Only I is correct',b'b.Only I and II are correct',b'c.Only II and III are correct',"b'd.All of I, II and III are correct'",b'\nAnswer: (a).Only I is correct\n'
"b'91.  Consider a network connecting two systems located 8000 kilometers apart. The bandwidth of the network is 500 \xc3\x97 10^6 bits per second. The propagation speed of the media is 4 \xc3\x97 10^6 meters per second. It is needed to design a Go-Back-N sliding window protocol for this network. The average packet size is 10^7 bits. The network is to be used to its full capacity. Assume that processing delays at nodes are negligible. Then, the minimum size in bits of he sequence number field has to be ________.\n'",b'a.2',b'b.4',b'c.8',b'd.16',b'\nAnswer: (c).8\n'
"b'92.  On a TCP connection, current congestion window size is Congestion Window = 4 KB. The window size advertised by the receiver is Advertise Window = 6 KB. The last byte sent by the sender is LastByteSent = 10240 and the last byte acknowledged by the receiver is LastByteAcked = 8192. The current window size at the sender is \xc2\xa0\n'",b'a.2048 bytes',b'b.4096 bytes',b'c.6144 bytes',b'd.8192 bytes',b'\nAnswer: (b).4096 bytes\n'
"b'93.  For a host machine that uses the token bucket algorithm for congestion control, the token bucket has a capacity of 1 megabyte and the maximum output rate is 20 megabytes per second. Tokens arrive at a rate to sustain output at a rate of 10 megabytes per second. The token bucket is currently full and the machine needs to send 12 megabytes of data. The minimum time required to transmit the data is _________________ seconds.\n'",b'a.1.1',b'b.0.1',b'c.2.1',b'd.2.0',b'\nAnswer: (a).1.1\n'
b'94.  Consider the following statements about the timeout value used in TCP. i. The timeout value is set to the RTT (Round Trip Time) measured during TCP connection establishment for the entire duration of the connection. ii. Appropriate RTT estimation algorithm is used to set the timeout value of a TCP connection. iii. Timeout value is set to twice the propagation delay from the sender to the receiver. Which of the following choices hold?\n',"b'a.(i) is false, but (ii) and (iii) are true'","b'b.(i) and (iii) are false, but (ii) is true'","b'c.(i) and (ii) are false, but (iii) is true'","b'd.(i), (ii) and (iii) are false'","b'\nAnswer: (b).(i) and (iii) are false, but (ii) is true\n'"
"b'95.  Consider a TCP connection in a state where there are no outstanding ACKs. The sender sends two segments back to back. The sequence numbers of the first and second segments are 230 and 290 respectively. The first segment was lost, but the second segment was received correctly by the receiver. Let X be the amount of data carried in the first segment (in bytes), and Y be the ACK number sent by the receiver. The values of X and Y (in that order) are\n'",b'a.60 and 290',b'b.230 and 291',b'c.60 and 231',b'd.60 and 230',b'\nAnswer: (d).60 and 230\n'
b'96.  Which of the following statements are TRUE?\r (S1) TCP handles both congestion and flow control\r(S2) UDP handles congestion but not flow control\r(S3) Fast retransmit deals with congestion but not flow control\r(S4) Slow start mechanism deals with both congestion and flow control\n',"b'a.S1, S2 and S3 only'",b'b.S1 and S3 only',b'c.S3 and S4 only',"b'd.S1, S3 and S4 only'",b'\nAnswer: (b).S1 and S3 only\n'
b'97.  Consider different activities related to email.\r m1: Send an email from a mail client to a mail server\rm2: Download an email from mailbox server to a mail client\rm3: Checking email in a web browser\r Which is the application level protocol used in each activity?\n',b'a.ml: HTTP m2: SMTP m3: POP',b'b.ml: SMTP m2: FTP m3: HTTP',b'c.ml: SMTP m2: POP m3: HTTP',b'd.ml: POP m2: SMTP m3: IMAP',b'\nAnswer: (c).ml: SMTP m2: POP m3: HTTP\n'
b'98.  Identify the correct order in which the following actions take place in an interaction between a web browser and a web server.\r 1. The web browser requests a webpage using HTTP.\r2. The web browser establishes a TCP connection \r   with the web server.\r3. The web server sends the requested webpage \r   using HTTP.\r4. The web browser resolves the domain name \r   using DNS.\n',"b'a.4,2,1,3'","b'b.1,2,3,4'","b'c.4,1,2,3'","b'd.2,4,1,3'","b'\nAnswer: (a).4,2,1,3\n'"
"b'99.  A graphical HTML browser resident at a network client machine Q accesses a static HTML webpage from a HTTP server S. The static HTML page has exactly one static embedded image which is also at S. Assuming no caching, which one of the following is correct about the HTML webpage loading (including the embedded image)?\n'","b'a.Q needs to send at least 2 HTTP requests to S, each necessarily in a separate TCP connection to server S'","b'b.Q needs to send at least 2 HTTP requests to S, but a single TCP connection to server S is sufficient'","b'c.A single HTTP request from Q to S is sufficient, and a single TCP connection between Q and S is necessary for this'","b'd.A single HTTP request from Q to S is sufficient, and this is possible without any TCP connection between Q and S'","b'\nAnswer: (b).Q needs to send at least 2 HTTP requests to S, but a single TCP connection to server S is sufficient\n'"
"b'100.  Consider the following statements: I. telnet, ftp and http are application layer protocols. II.l EJB (Enterprise Java Beans) components can be deployed in a J2EE (Java2 Enterprise Edition) application server. III. If two languages conform to the Common Language Specification (CLS) of the Microsoft.NET framework, then a class defined in any one of them may be inherited in the other. Which statements are true?\n'",b'a.l and II only',b'b.II and III only',b'c.l and III only',"b'd.I, II and III'",b'\nAnswer: (a).l and II only\n'
b'101.  Which of the following is/are example(s) of stateful application layer protocols?\r (i)  HTTP\r(ii) FTP\r(iii) TCP\r(iv) POP3\n',b'a.(i) and (ii) only',b'b.(ii) and (iii) only',b'c.(ii) and (iv) only',b'd.(iv) only',b'\nAnswer: (c).(ii) and (iv) only\n'
b'102.  Which one of the following is not a client server application?\n',b'a.Internet chat',b'b.Web browsing',b'c.E-mail',b'd.ping',b'\nAnswer: (d).ping\n'
b'103.  Match the following:\r (P) SMTP      (1) Application layer\r(Q) BGP        (2) Transport layer\r(R) TCP         (3) Data link layer\r(S) PPP         (4) Network layer\r                      (5) Physical layer\n',b'a.P \xe2\x80\x93 2 Q \xe2\x80\x93 1 R \xe2\x80\x93 3 S \xe2\x80\x93 5',b'b.P \xe2\x80\x93 1 Q \xe2\x80\x93 4 R \xe2\x80\x93 2 S \xe2\x80\x93 3',b'c.P \xe2\x80\x93 1 Q \xe2\x80\x93 4 R \xe2\x80\x93 2 S \xe2\x80\x93 5',b'd.P \xe2\x80\x93 2 Q \xe2\x80\x93 4 R \xe2\x80\x93 1 S \xe2\x80\x93 3',b'\nAnswer: (b).P \xe2\x80\x93 1 Q \xe2\x80\x93 4 R \xe2\x80\x93 2 S \xe2\x80\x93 3\n'
"b'104.  In the following pairs of OSI protocol layer/sub-layer and its functionality, the INCORRECT pair is\n'",b'a.Network layer and Routing',b'b.Data Link Layer and Bit synchronization',b'c.Transport layer and End-to-end process communication',b'd.Medium Access Control sub-layer and Channel sharing',b'\nAnswer: (b).Data Link Layer and Bit synchronization\n'
b'105.  Choose the best matching between Group 1 and Group 2.\r    Group-1   \t  \t                    Group-2   \r P. Data link                              1. Ensures reliable transport of data over a physical point-to-point link\r  Q. Network layer                    2. Encoder/decodes data for physical  transmission\r  R. Transport layer                  3. Allows end-to-end communication between two processes\r                                                    4. Routes data from one network   node to the next\r \n',"b'a.P-1, Q-4, R-3'","b'b.P-2, Q-4, R-1'","b'c.P-2, Q-3, R-1'","b'd.P-1, Q-3, R-2'","b'\nAnswer: (a).P-1, Q-4, R-3\n'"
b'106.  Which of the following is NOT true with respect to a transparent bridge and a router?\n',b'a.Both bridge and router selectively forward data packets',b'b.A bridge uses IP addresses while a router uses MAC addresses',b'c.A bridge builds up its routing table by inspect\xc2\xading incoming packets',b'd.A router can connect between a LAN and a WAN',b'\nAnswer: (b).A bridge uses IP addresses while a router uses MAC addresses\n'
b'107.  Host A sends a UDP datagram containing 8880 bytes of user data to host B over an Ethernet LAN. Ethernet frames may carry data up to 1500 bytes (i.e. MTU = 1500 bytes). Size of UDP header is 8 bytes and size of IP header is 20 bytes. There is no option field in IP header. How may total number of IP fragments will be transmitted and what will be the contents of offset field in the last fragment?\n',b'a.6 and 925',b'b.6 and 7400',b'c.7 and 1110',b'd.7 and 8880',b'\nAnswer: (c).7 and 1110\n'
"b'108.  Since it is a network that uses switch, every packet goes through two links, one from source to switch and other from switch to destination. Since there are 10000 bits and packet size is 5000, two packets are sent. Transmission time for each packet is 5000 / 10^7 bits per second links. Each link has a propagation delay of 20 microseconds. The switch begins forwarding a packet 35 microseconds after it receives the same. If 10000 bits of data are to be transmitted between the two hosts using a packet size of 5000 bits, the time elapsed between the transmission of the first bit of data and the reception of the last bit of the data in microseconds is _________.\r\n'",b'a.1075',b'b.1575',b'c.2220',b'd.2200',b'\nAnswer: (b).1575\n'
b'109.  Which  one of the following statements is FALSE?\n',b'a.TCP guarantees a minimum communication rate',b'b.TCP ensures in-order delivery',b'c.TCP reacts to congestion by reducing sender window size',b'd.TCP employs retransmission to compensate for packet loss',b'\nAnswer: (a).TCP guarantees a minimum communication rate\n'
b'110.  Which one of the following  statements is FALSE?\n',b'a.HTTP runs over TCP',b'b.HTTP describes the structure of web pages',b'c.HTTP allows information to be stored in a URL',b'd.HTTP can be used to test the validity of a hypertext link',b'\nAnswer: (b).HTTP describes the structure of web pages\n'
"b'111.  A serial transmission Ti uses 8 information bits, 2 start bits, 1 stop bit and 1 parity bit for each character. A synchronous transmission T2 uses 3 eight bit sync characters followed by 30 eight bit information characters. If the bit rate is 1200 bits/second in both cases, what are the transfer rates of Ti and T2?\n'","b'a.100 characters/sec, 153 characters/sec'","b'b.80 characters/sec, 136 characters/sec'","b'c.100 characters/sec, 136 characters/sec'","b'd.80 characters/sec, 153 characters/sec'","b'\nAnswer: (c).100 characters/sec, 136 characters/sec\n'"
"b""112.  In a sliding window ARQ scheme, the transmitter's window size is N and the receiver's window size is M. The minimum number of distinct sequence numbers required to ensure correct operation of the ARQ scheme is  \n""","b'a.min (M, N)'","b'b.max (M, N)'",b'c.M + N',b'd.MN',b'\nAnswer: (c).M + N\n'
b'113.  Which one of the following protocols is NOT used to resolve one form of address to another one?\n',b'a.DNS',b'b.ARP',b'c.DHCP',b'd.RARP',b'\nAnswer: (c).DHCP\n'
"b'114.  Identify the correct sequence in which the following packets are transmitted on the network by a host when a browser requests a webpage from a remote server, assuming that the host has just been restarted.\n'","b'a.HTTP GET request, DNS query, TCP SYN'","b'b.DNS query, HTTP GET request, TCP SYN'","b'c.DNS query, TCP SYN, HTTP GET request'","b'd.TCP SYN, DNS query, HTTP GET request'","b'\nAnswer: (c).DNS query, TCP SYN, HTTP GET request\n'"
"b'115.  A firewall is to be configured to allow hosts in a private network to freely open TCP connections and send packets on open connections. However, it will only allow external hosts to send packets on existing open TCP connections or connections that are being opened (by internal hosts) but not allow them to open TCP connections to hosts in the private network. To achieve this the minimum capability of the firewall should be that of\n'",b'a.A combinational circuit',b'b.A finite automaton',b'c.A pushdown automaton with one stack',b'd.A pushdown automaton with two stacks',b'\nAnswer: (d).A pushdown automaton with two stacks\n'
"b'116.  Which protocol will be used to automate the IP configuration mechanism which includes IP address, subnet mask, default gateway, and DNS information?\n'",b'a.SMTP',b'b.DHCP',b'c.ARP',b'd.TCP/IP',b'\nAnswer: (b).DHCP\n'
b'117.  In Go\xe2\x80\x93back 3 flow control protocol every 6th packet is lost. If we have to send 11 packets. How many transmissions will be needed ?\n',b'a.10',b'b.17',b'c.12',b'd.9',b'\nAnswer: (b).17\n'
b'118.  What will be the total minimum bandwidth of the channel required for 7 channels of 400 kHz bandwidth multiplexed together with each guard band of 20 kHz?\n',b'a.2800 khz',b'b.2600 khz',b'c.3600 khz',b'd.2920 khz',b'\nAnswer: (d).2920 khz\n'
b'119.  Which of the following is false:\n',b'a.Digital signature is used to verify that a message is authentic',b'b.Digital certificate is issued by a third party',b'c.Digital certificate ensures integrity of the message',b'd.Digital signature ensures non-repudiation',b'\nAnswer: (c).Digital certificate ensures integrity of the message\n'
b'120.  The subnet mask for a particular network is 255.255.31.0. Which of the following pairs of IP addresses could belong to this network?\n',b'a.172.57.88.62 and 172.56.87.233',b'b.10.35.28.2 and 10.35.29.4',b'c.191.203.31.87 and 191.234.31.88',b'd.128.8.129.43 and 128.8.161.55',b'\nAnswer: (d).128.8.129.43 and 128.8.161.55\n'
"b'121.  Consider three IP networks A, B and C. Host HA in network A sends messages each containing 180 bytes of application data to a host HC in network C. The TCP layer prefixes a 20 byte header to the message. This passes through an intermediate net\xc2\xadwork B. The maximum packet size, including 20 byte IP header, in each network is A : 1000 bytes B : 100 bytes C : 1000 bytes The network A and B are connected through a 1 Mbps link, while B and C are connected by a 512 Kbps link (bps = bits per second). \rAssuming that the packets are correctly delivered, how many bytes, including headers, are delivered to the IP layer at the destination for one application message, in the best case ? Consider only data packets.\n\n'",b'a.200',b'b.220',b'c.240',b'd.260',b'\nAnswer: (d).260\n'
"b'122.  Consider three IP networks A, B and C. Host HA in network A sends messages each containing 180 bytes of application data to a host HC in network C. The TCP layer prefixes a 20 byte header to the message. This passes through an intermediate net\xc2\xadwork B. The maximum packet size, including 20 byte IP header, in each network is A : 1000 bytes B : 100 bytes C : 1000 bytes The network A and B are connected through a 1 Mbps link, while B and C are connected by a 512 Kbps link (bps = bits per second).\rWhat is the rate at which application data is transferred to host HC? Ignore errors, acknowledgements, and other overheads.\n\n'",b'a.325.5 Kbps',b'b.354.5 Kbps',b'c.409.6 Kbps',b'd.512.0 Kbps',b'\nAnswer: (b).354.5 Kbps\n'
